,match,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_home,games_against_away,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,odds_home,odds_draw,odds_away
23,561,1.0,-15.0,4.0,1.0,1.0,1.0,71.0,70.0,61.0,71.0,73.0,69.0,71.0,71.0,69.0,70.0,67.0,67.0,65.0,67.0,69.0,69.0,64.0,64.0,69.0,70.0,72.0,65.0,0.6123980869075029,0.2306121566244858,0.15698975646801128
24,562,-1.0,-2.0,3.0,3.0,1.0,0.0,71.0,68.0,73.0,66.0,64.0,64.0,72.0,65.0,70.0,69.0,72.0,63.0,63.0,66.0,68.0,64.0,69.0,61.0,64.0,68.0,66.0,69.0,0.5732474474126473,0.2421746569720194,0.18457789561533328
25,563,-1.0,10.0,4.0,4.0,1.0,1.0,71.0,63.0,62.0,67.0,64.0,68.0,72.0,66.0,66.0,67.0,63.0,66.0,65.0,70.0,63.0,62.0,68.0,65.0,63.0,62.0,68.0,67.0,0.48872411708902797,0.26486452235457303,0.2464113605563989
26,564,-10.0,10.0,3.0,6.0,0.0,0.0,57.0,63.0,62.0,60.0,63.0,63.0,63.0,64.0,61.0,64.0,64.0,74.0,73.0,71.0,72.0,71.0,71.0,67.0,76.0,70.0,71.0,74.0,0.15045203171433766,0.2286549679335091,0.6208930003521533
27,565,3.0,8.0,6.0,5.0,1.0,1.0,66.0,66.0,65.0,69.0,64.0,67.0,65.0,66.0,66.0,63.0,68.0,65.0,66.0,64.0,67.0,68.0,68.0,72.0,71.0,72.0,74.0,66.0,0.37690428196281395,0.2856374946484285,0.3374582233887574
28,566,-1.0,-1.0,3.0,1.0,1.0,0.0,65.0,70.0,66.0,67.0,64.0,64.0,68.0,66.0,66.0,71.0,68.0,63.0,65.0,64.0,64.0,64.0,63.0,63.0,65.0,65.0,65.0,65.0,0.5015352251673516,0.270449816461206,0.2280149583714424
29,567,-12.0,2.0,0.0,5.0,0.0,0.0,65.0,57.0,63.0,64.0,63.0,66.0,66.0,66.0,67.0,64.0,66.0,68.0,70.0,68.0,67.0,58.0,73.0,59.0,67.0,61.0,67.0,66.0,0.3109806535381807,0.28211647107207777,0.4069028753897415
30,568,7.0,3.0,5.0,4.0,3.0,0.0,74.0,73.0,74.0,72.0,70.0,76.0,71.0,74.0,73.0,67.0,71.0,71.0,68.0,73.0,66.0,64.0,62.0,65.0,70.0,72.0,72.0,69.0,0.5685947120590973,0.2422697440594161,0.1891355438814866
31,569,8.0,2.0,5.0,5.0,2.0,0.0,65.0,64.0,69.0,72.0,67.0,66.0,71.0,72.0,72.0,66.0,74.0,71.0,70.0,61.0,71.0,73.0,69.0,71.0,69.0,70.0,67.0,67.0,0.47479195588633905,0.2714402755047421,0.2537677686089188
32,570,2.0,-7.0,5.0,4.0,0.0,1.0,68.0,70.0,68.0,67.0,59.0,58.0,67.0,61.0,73.0,70.0,66.0,57.0,63.0,60.0,63.0,62.0,66.0,61.0,64.0,56.0,64.0,62.0,0.5303711728632338,0.2686531897637863,0.2009756373729799
